Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
878169,386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2023,06/01/2023,28.97905331,
878131,386,Ozone (O3),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Summer 2023,06/01/2023,33.55858112,
878117,386,Ozone (O3),Mean,ppb,CD,305,East New York and Starrett City (CD5),Summer 2023,06/01/2023,36.56098667,
878167,386,Ozone (O3),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2023,06/01/2023,28.47102781,
878151,386,Ozone (O3),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2023,06/01/2023,29.62674459,
878153,386,Ozone (O3),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Summer 2023,06/01/2023,32.73465101,
878165,386,Ozone (O3),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2023,06/01/2023,29.94972265,
877149,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2023,06/01/2023,12.9706097,
877170,375,Nitrogen dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2023,06/01/2023,11.9265525,
878122,386,Ozone (O3),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2023,06/01/2023,35.37371742,
874482,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2023,06/01/2023,9.178931606,
878160,386,Ozone (O3),Mean,ppb,CD,111,East Harlem (CD11),Summer 2023,06/01/2023,31.93767785,
877122,375,Nitrogen dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Summer 2023,06/01/2023,13.81264623,
878197,386,Ozone (O3),Mean,ppb,UHF34,205,Sunset Park,Summer 2023,06/01/2023,34.50958622,
878248,386,Ozone (O3),Mean,ppb,Borough,5,Staten Island,Summer 2023,06/01/2023,34.99660591,
878226,386,Ozone (O3),Mean,ppb,UHF42,304,Upper West Side,Summer 2023,06/01/2023,29.75910834,
878216,386,Ozone (O3),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2023,06/01/2023,36.88953233,
878180,386,Ozone (O3),Mean,ppb,UHF34,409,Southeast Queens,Summer 2023,06/01/2023,38.18155438,
876870,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2023,06/01/2023,12.06848595,
874350,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2023,06/01/2023,9.229392964,
874329,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2023,06/01/2023,8.878918851,
874308,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2023,06/01/2023,9.266873894,
878237,386,Ozone (O3),Mean,ppb,UHF42,204,East New York,Summer 2023,06/01/2023,36.31450852,
878244,386,Ozone (O3),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2023,06/01/2023,34.91689947,
878230,386,Ozone (O3),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2023,06/01/2023,35.49941831,
876891,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,Summer 2023,06/01/2023,13.58713104,
876912,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2023,06/01/2023,12.91683936,
877113,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2023,06/01/2023,16.00194618,
878142,386,Ozone (O3),Mean,ppb,CD,412,Jamaica and Hollis (CD12),Summer 2023,06/01/2023,37.63691568,
878140,386,Ozone (O3),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2023,06/01/2023,37.87161012,
876993,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Summer 2023,06/01/2023,12.47245283,
878198,386,Ozone (O3),Mean,ppb,UHF34,204,East New York,Summer 2023,06/01/2023,36.31450852,
877035,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,06/01/2023,13.24164375,
877002,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2023,06/01/2023,14.02065338,
878201,386,Ozone (O3),Mean,ppb,UHF34,201,Greenpoint,Summer 2023,06/01/2023,33.7542222,
878183,386,Ozone (O3),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Summer 2023,06/01/2023,35.74608194,
878204,386,Ozone (O3),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2023,06/01/2023,33.69362355,
878188,386,Ozone (O3),Mean,ppb,UHF34,303,East Harlem,Summer 2023,06/01/2023,32.00898429,
876858,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Summer 2023,06/01/2023,9.286177253,
874586,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,06/01/2023,9.20653142,
874419,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,101,Kingsbridge - Riverdale,Summer 2023,06/01/2023,9.265788318,
874389,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207,East Flatbush - Flatbush,Summer 2023,06/01/2023,8.611497961,
874383,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209,Bensonhurst - Bay Ridge,Summer 2023,06/01/2023,8.502404761,
878143,386,Ozone (O3),Mean,ppb,CD,413,Queens Village (CD13),Summer 2023,06/01/2023,38.25394831,
878194,386,Ozone (O3),Mean,ppb,UHF34,208,Canarsie - Flatlands,Summer 2023,06/01/2023,38.29501816,
878196,386,Ozone (O3),Mean,ppb,UHF34,206,Borough Park,Summer 2023,06/01/2023,37.40360507,
878141,386,Ozone (O3),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2023,06/01/2023,37.09750646,
878192,386,Ozone (O3),Mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,Summer 2023,06/01/2023,40.41763987,
874491,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Summer 2023,06/01/2023,9.349919871,
874464,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Summer 2023,06/01/2023,9.185954859,
874915,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2023,06/01/2023,8.643969442,
874879,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Summer 2023,06/01/2023,9.169949337,
874906,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2023,06/01/2023,9.15830274,
877182,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2023,06/01/2023,14.41101052,
874493,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,201,Mott Haven and Melrose (CD1),Summer 2023,06/01/2023,9.493704165,
874508,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Summer 2023,06/01/2023,9.157520077,
878219,386,Ozone (O3),Mean,ppb,UHF42,401,Long Island City - Astoria,Summer 2023,06/01/2023,33.216065,
878209,386,Ozone (O3),Mean,ppb,UHF42,501,Port Richmond,Summer 2023,06/01/2023,32.56097611,
878240,386,Ozone (O3),Mean,ppb,UHF42,201,Greenpoint,Summer 2023,06/01/2023,33.7542222,
878247,386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2023,06/01/2023,29.39652856,
878238,386,Ozone (O3),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2023,06/01/2023,36.15812507,
878236,386,Ozone (O3),Mean,ppb,UHF42,205,Sunset Park,Summer 2023,06/01/2023,34.50967942,
878245,386,Ozone (O3),Mean,ppb,UHF42,103,Fordham - Bronx Pk,Summer 2023,06/01/2023,32.31051756,
878233,386,Ozone (O3),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2023,06/01/2023,38.29501816,
878241,386,Ozone (O3),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2023,06/01/2023,33.38337979,
878252,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2023,06/01/2023,33.22314544,
878222,386,Ozone (O3),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2023,06/01/2023,29.05630081,
878221,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2023,06/01/2023,31.00497205,
878220,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2023,06/01/2023,29.88823161,
878159,386,Ozone (O3),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Summer 2023,06/01/2023,29.66140778,
878147,386,Ozone (O3),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Summer 2023,06/01/2023,32.92349671,
878249,386,Ozone (O3),Mean,ppb,Borough,4,Queens,Summer 2023,06/01/2023,36.99164687,
878120,386,Ozone (O3),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2023,06/01/2023,36.06213115,
878156,386,Ozone (O3),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Summer 2023,06/01/2023,32.51779978,
878116,386,Ozone (O3),Mean,ppb,CD,304,Bushwick (CD4),Summer 2023,06/01/2023,35.79837826,
878168,386,Ozone (O3),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2023,06/01/2023,31.25788895,
878155,386,Ozone (O3),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2023,06/01/2023,31.89345109,
878133,386,Ozone (O3),Mean,ppb,CD,403,Jackson Heights (CD3),Summer 2023,06/01/2023,34.54442893,
878224,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2023,06/01/2023,28.35317493,
878228,386,Ozone (O3),Mean,ppb,UHF42,302,Central Harlem - Morningside Heights,Summer 2023,06/01/2023,31.47180591,
878114,386,Ozone (O3),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2023,06/01/2023,33.40842626,
878157,386,Ozone (O3),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2023,06/01/2023,33.48798478,
878132,386,Ozone (O3),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2023,06/01/2023,33.53542984,
878166,386,Ozone (O3),Mean,ppb,CD,105,Midtown (CD5),Summer 2023,06/01/2023,28.43469638,
874377,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Summer 2023,06/01/2023,9.266873894,
878150,386,Ozone (O3),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2023,06/01/2023,33.96231918,
878121,386,Ozone (O3),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2023,06/01/2023,36.97711285,
878162,386,Ozone (O3),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,06/01/2023,30.99076311,
874571,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Summer 2023,06/01/2023,8.899227558,
874413,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Summer 2023,06/01/2023,9.228735232,
878115,386,Ozone (O3),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2023,06/01/2023,35.69351113,
878148,386,Ozone (O3),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2023,06/01/2023,34.34050068,
878139,386,Ozone (O3),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2023,06/01/2023,36.77790716,
874404,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Summer 2023,06/01/2023,9.205974877,
878144,386,Ozone (O3),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2023,06/01/2023,43.40081576,
874371,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Summer 2023,06/01/2023,8.776138037,
874323,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206,Borough Park,Summer 2023,06/01/2023,8.616311108,
878189,386,Ozone (O3),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,06/01/2023,31.47215121,
876987,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2023,06/01/2023,13.0538783,
878202,386,Ozone (O3),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2023,06/01/2023,34.91689947,
878199,386,Ozone (O3),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2023,06/01/2023,36.15812507,
878184,386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2023,06/01/2023,36.69427293,
878187,386,Ozone (O3),Mean,ppb,UHF34,304,Upper West Side,Summer 2023,06/01/2023,29.75903836,
877008,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2023,06/01/2023,13.58713104,
877041,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304,Upper West Side,Summer 2023,06/01/2023,15.61819912,
874335,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202,Downtown - Heights - Slope,Summer 2023,06/01/2023,9.205974877,
874888,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,301,Greenpoint and Williamsburg (CD1),Summer 2023,06/01/2023,9.515876207,
874580,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304,Upper West Side,Summer 2023,06/01/2023,9.178923085,
878223,386,Ozone (O3),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2023,06/01/2023,29.47284974,
878234,386,Ozone (O3),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2023,06/01/2023,37.25838607,
874532,365,Fine particles (PM 2.5),Mean,mcg/m3,Citywide,1,New York City,Summer 2023,06/01/2023,8.809497546,
874499,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111,East Harlem (CD11),Summer 2023,06/01/2023,9.203035572,
874873,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Summer 2023,06/01/2023,9.257483083,
874514,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2023,06/01/2023,9.340237988,
874894,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Summer 2023,06/01/2023,9.002668989,
878231,386,Ozone (O3),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2023,06/01/2023,40.41763987,
878200,386,Ozone (O3),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2023,06/01/2023,33.86869045,
878205,386,Ozone (O3),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2023,06/01/2023,29.39652856,
878185,386,Ozone (O3),Mean,ppb,UHF34,402,West Queens,Summer 2023,06/01/2023,34.3659895,
878215,386,Ozone (O3),Mean,ppb,UHF42,405,Ridgewood - Forest Hills,Summer 2023,06/01/2023,35.74608194,
